# w_1 = 6.0 GHz
# w2 [GHz]  wc [GHz]
   5.00000   5.00000
   5.00000   5.80000
   5.00000   6.10000
   5.00000   6.30000
   5.00000   6.60000
   5.00000   7.10000
   5.00000   7.60000
   5.00000   8.10000
   5.00000   8.60000
   5.00000   9.10000
   5.00000  10.10000
   5.00000  11.10000
   5.50000   5.00000
   5.50000   5.80000
   5.50000   6.10000
   5.50000   6.30000
   5.50000   6.60000
   5.50000   7.10000
   5.50000   7.60000
   5.50000   8.10000
   5.50000   8.60000
   5.50000   9.10000
   5.50000  10.10000
   5.50000  11.10000
   5.70000   5.00000
   5.70000   5.80000
   5.70000   6.10000
   5.70000   6.30000
   5.70000   6.60000
   5.70000   7.10000
   5.70000   7.60000
   5.70000   8.10000
   5.70000   8.60000
   5.70000   9.10000
   5.70000  10.10000
   5.70000  11.10000
   5.80000   5.00000
   5.80000   5.80000
   5.80000   6.10000
   5.80000   6.30000
   5.80000   6.60000
   5.80000   7.10000
   5.80000   7.60000
   5.80000   8.10000
   5.80000   8.60000
   5.80000   9.10000
   5.80000  10.10000
   5.80000  11.10000
   5.90000   5.00000
   5.90000   5.80000
   5.90000   6.10000
   5.90000   6.30000
   5.90000   6.60000
   5.90000   7.10000
   5.90000   7.60000
   5.90000   8.10000
   5.90000   8.60000
   5.90000   9.10000
   5.90000  10.10000
   5.90000  11.10000
   6.00000   5.00000
   6.00000   5.80000
   6.00000   6.10000
   6.00000   6.30000
   6.00000   6.60000
   6.00000   7.10000
   6.00000   7.60000
   6.00000   8.10000
   6.00000   8.60000
   6.00000   9.10000
   6.00000  10.10000
   6.00000  11.10000
   6.10000   5.00000
   6.10000   5.80000
   6.10000   6.10000
   6.10000   6.30000
   6.10000   6.60000
   6.10000   7.10000
   6.10000   7.60000
   6.10000   8.10000
   6.10000   8.60000
   6.10000   9.10000
   6.10000  10.10000
   6.10000  11.10000
   6.20000   5.00000
   6.20000   5.80000
   6.20000   6.10000
   6.20000   6.30000
   6.20000   6.60000
   6.20000   7.10000
   6.20000   7.60000
   6.20000   8.10000
   6.20000   8.60000
   6.20000   9.10000
   6.20000  10.10000
   6.20000  11.10000
   6.29000   5.00000
   6.29000   5.80000
   6.29000   6.10000
   6.29000   6.30000
   6.29000   6.60000
   6.29000   7.10000
   6.29000   7.60000
   6.29000   8.10000
   6.29000   8.60000
   6.29000   9.10000
   6.29000  10.10000
   6.29000  11.10000
   6.30000   5.00000
   6.30000   5.80000
   6.30000   6.10000
   6.30000   6.30000
   6.30000   6.60000
   6.30000   7.10000
   6.30000   7.60000
   6.30000   8.10000
   6.30000   8.60000
   6.30000   9.10000
   6.30000  10.10000
   6.30000  11.10000
   6.31000   5.00000
   6.31000   5.80000
   6.31000   6.10000
   6.31000   6.30000
   6.31000   6.60000
   6.31000   7.10000
   6.31000   7.60000
   6.31000   8.10000
   6.31000   8.60000
   6.31000   9.10000
   6.31000  10.10000
   6.31000  11.10000
   6.35000   5.00000
   6.35000   5.80000
   6.35000   6.10000
   6.35000   6.30000
   6.35000   6.60000
   6.35000   7.10000
   6.35000   7.60000
   6.35000   8.10000
   6.35000   8.60000
   6.35000   9.10000
   6.35000  10.10000
   6.35000  11.10000
   6.50000   5.00000
   6.50000   5.80000
   6.50000   6.10000
   6.50000   6.30000
   6.50000   6.60000
   6.50000   7.10000
   6.50000   7.60000
   6.50000   8.10000
   6.50000   8.60000
   6.50000   9.10000
   6.50000  10.10000
   6.50000  11.10000
   6.58000   5.00000
   6.58000   5.80000
   6.58000   6.10000
   6.58000   6.30000
   6.58000   6.60000
   6.58000   7.10000
   6.58000   7.60000
   6.58000   8.10000
   6.58000   8.60000
   6.58000   9.10000
   6.58000  10.10000
   6.58000  11.10000
   6.00000   5.00000
   6.00000   5.80000
   6.00000   6.10000
   6.00000   6.30000
   6.00000   6.60000
   6.00000   7.10000
   6.00000   7.60000
   6.00000   8.10000
   6.00000   8.60000
   6.00000   9.10000
   6.00000  10.10000
   6.00000  11.10000
   6.62000   5.00000
   6.62000   5.80000
   6.62000   6.10000
   6.62000   6.30000
   6.62000   6.60000
   6.62000   7.10000
   6.62000   7.60000
   6.62000   8.10000
   6.62000   8.60000
   6.62000   9.10000
   6.62000  10.10000
   6.62000  11.10000
   6.75000   5.00000
   6.75000   5.80000
   6.75000   6.10000
   6.75000   6.30000
   6.75000   6.60000
   6.75000   7.10000
   6.75000   7.60000
   6.75000   8.10000
   6.75000   8.60000
   6.75000   9.10000
   6.75000  10.10000
   6.75000  11.10000
   7.00000   5.00000
   7.00000   5.80000
   7.00000   6.10000
   7.00000   6.30000
   7.00000   6.60000
   7.00000   7.10000
   7.00000   7.60000
   7.00000   8.10000
   7.00000   8.60000
   7.00000   9.10000
   7.00000  10.10000
   7.00000  11.10000
   7.25000   5.00000
   7.25000   5.80000
   7.25000   6.10000
   7.25000   6.30000
   7.25000   6.60000
   7.25000   7.10000
   7.25000   7.60000
   7.25000   8.10000
   7.25000   8.60000
   7.25000   9.10000
   7.25000  10.10000
   7.25000  11.10000
   7.50000   5.00000
   7.50000   5.80000
   7.50000   6.10000
   7.50000   6.30000
   7.50000   6.60000
   7.50000   7.10000
   7.50000   7.60000
   7.50000   8.10000
   7.50000   8.60000
   7.50000   9.10000
   7.50000  10.10000
   7.50000  11.10000
   7.50000  11.10000
